LGA NAME,Earners,Median age of earners,Sum,Median,Mean,P80/P20,P80/P50,P20/P50,P10/P50,Gini coefficient,Top 1%,Top 5%,Top 10%,Lowest Quartile,Second Quartile,Third Quartile,Highest Quartile
Casey,"179,915",39,"10,016,226,368","48,849","55,672",3.94,1.68,0.43,0.22,0.406,6,17,27.3,22.6,28.5,29.8,19.1
Greater Geelong,"138,982",43,"8,243,482,999","48,258","59,313",4.83,1.83,0.38,0.16,0.456,7.6,20,30.9,25.3,26.3,25.7,22.7
Wyndham,"134,914",37,"7,778,755,537","50,282","57,657",4.25,1.73,0.41,0.2,0.412,5,16.3,27,23,26.4,28.4,22.2
Boroondara,"115,441",45,"11,246,716,259","58,284","97,424",7.36,2.27,0.31,0.12,0.587,14.1,31.7,43.9,25.1,19.3,19.2,36.4
Whittlesea,"113,717",38,"6,256,935,538","48,592","55,022",4.08,1.7,0.42,0.21,0.402,4.9,15.8,26.3,23.2,28.1,28.9,19.7
Monash,"110,654",42,"6,627,453,117","45,134","59,893",6.46,2.05,0.32,0.11,0.503,8.2,21.6,33.5,30.3,23.5,21.9,24.3
Hume,"108,651",38,"5,850,978,383","47,083","53,851",4.1,1.71,0.42,0.21,0.412,5.3,16.6,27.1,24.5,28.4,28.6,18.5
Brimbank,"104,733",39,"5,346,002,556","44,657","51,044",4.29,1.73,0.4,0.19,0.418,5.3,16.7,27.4,26.7,29.2,27.5,16.5
Moreland,"102,635",36,"6,406,247,194","51,883","62,418",4.68,1.82,0.39,0.19,0.436,6.1,18,28.9,23.3,24.7,25.9,26.1
Whitehorse,"100,215",43,"6,237,745,057","46,165","62,244",6.52,2.08,0.32,0.12,0.505,8,21.8,33.8,29.6,23.1,21.4,25.9
Knox,"96,219",43,"5,598,372,417","49,534","58,184",4.61,1.78,0.39,0.17,0.435,5.9,17.7,28.6,24.4,25.9,27.1,22.7
Kingston,"94,050",43,"6,060,821,430","52,380","64,443",4.83,1.84,0.38,0.17,0.453,7.2,19.5,30.6,23.5,24,25.6,26.8
Mornington Peninsula,"93,977",48,"5,855,075,189","45,701","62,303",5.31,1.97,0.37,0.15,0.501,10.2,23.9,35.3,27,26.8,23,23.3
Melbourne,"93,580",32,"6,537,904,268","45,832","69,864",7.09,2.11,0.3,0.12,0.564,15.3,29.8,41.1,31.4,21.4,21,26.2
Glen Eira,"92,499",42,"7,089,188,944","55,256","76,641",5.7,2.02,0.35,0.15,0.508,9.8,23.9,35.7,23.9,21.7,22.1,32.2
Yarra Ranges,"91,872",44,"5,410,097,846","49,136","58,887",4.45,1.78,0.4,0.18,0.439,7,18.8,29.5,23.8,26.9,26.9,22.4
