,S/T code,S/T name,LGA code,LGA name,0-4,5–9,10–14,15–19,20–24,25–29,30–34,35–39,40–44,45–49,50–54,55–59,60–64,65–69,70–74,75–79,80–84,85 and over,Total persons
0,2,Victoria,20110,Alpine (S),554,668,847,692,549,550,561,633,752,949,847,1066,1076,956,935,579,404,355,12973
1,2,Victoria,20260,Ararat (RC),598,626,679,611,546,609,670,686,698,736,870,849,919,851,733,547,359,378,11965
2,2,Victoria,20570,Ballarat (C),6995,7201,7267,6674,8053,8575,7292,6973,6575,6914,6423,6759,6350,5692,5140,3513,2425,2540,111361
3,2,Victoria,20660,Banyule (C),7815,8379,7837,6900,7831,8994,9402,9491,9214,9043,8224,7719,7386,6601,6061,4551,3134,3358,131940
4,2,Victoria,20740,Bass Coast (S),1886,2125,2086,1887,1368,1583,1877,1973,1916,2162,2261,2732,3105,3228,2901,1967,1175,1213,37445
5,2,Victoria,20830,Baw Baw (S),3388,3581,3822,3143,3172,3268,3450,3224,3010,3235,3358,3725,3594,3295,3011,2120,1375,1113,54884
6,2,Victoria,20910,Bayside (C),4852,6684,7851,7430,6190,4896,4243,5938,6876,8790,8356,7733,6648,5768,5301,3847,2576,3562,107541
7,2,Victoria,21010,Benalla (RC),709,754,788,768,694,571,715,638,646,808,914,1107,1151,1137,1039,735,486,477,14137
8,2,Victoria,21110,Boroondara (C),7431,10033,12134,13021,15083,14636,12352,10732,10863,12596,12336,11539,9808,8358,7806,5479,4010,4806,183023
9,2,Victoria,21180,Brimbank (C),13156,12583,11579,12186,15380,18058,16615,14932,12756,13032,12611,12141,11626,10107,8596,5656,3737,3496,208247
10,2,Victoria,21270,Buloke (S),283,329,390,342,237,181,274,236,269,370,420,492,546,485,401,296,244,306,6101
11,2,Victoria,21370,Campaspe (S),1996,2289,2404,2332,2056,1828,1759,1865,1891,2352,2517,2732,2754,2576,2200,1767,1250,1107,37675
12,2,Victoria,21450,Cardinia (S),9217,9240,8272,7263,7248,9017,9764,8921,7556,7583,6774,6190,5419,4378,3894,2619,1518,1320,116193
13,2,Victoria,21610,Casey (C),28094,28925,25841,22829,25292,27899,29838,31114,25398,23674,21231,19271,16483,12934,10368,6707,4623,4079,364600
14,2,Victoria,21670,Central Goldfields (S),566,669,762,729,648,587,531,503,587,736,850,969,1055,1125,1010,763,564,438,13092
15,2,Victoria,21750,Colac-Otway (S),1193,1294,1354,1255,1104,1138,1127,1186,1087,1347,1443,1498,1614,1547,1254,960,625,636,21662
16,2,Victoria,21830,Corangamite (S),812,957,1070,940,823,727,703,698,815,978,1128,1247,1214,1143,1018,675,521,460,15929
17,2,Victoria,21890,Darebin (C),9055,8438,7712,7099,12411,17273,17725,14849,11455,11118,9837,8742,7530,5920,5129,4182,3670,4285,166430
18,2,Victoria,22110,East Gippsland (S),2384,2611,2736,2500,1995,1943,2137,2191,2202,2608,2898,3488,3860,4175,4033,2750,1677,1537,47725
19,2,Victoria,22170,Frankston (C),9402,9018,8480,7833,8379,9753,10558,10425,9459,10130,9168,9086,8284,6845,6197,4304,2991,3026,143338
20,2,Victoria,22250,Gannawarra (S),480,569,619,584,473,403,429,479,455,579,710,771,799,888,779,570,432,381,10400
21,2,Victoria,22310,Glen Eira (C),8606,9574,9703,8712,11076,13974,12994,12009,10445,10821,9671,8774,7880,6685,6095,3874,3127,4196,158216
22,2,Victoria,22410,Glenelg (S),1016,1001,1149,1230,980,813,725,942,1017,1285,1431,1628,1663,1519,1208,868,590,556,19621
23,2,Victoria,22490,Golden Plains (S),1488,1824,1966,1767,1286,1139,1388,1531,1597,1884,1754,1588,1476,1317,1098,634,283,229,24249
24,2,Victoria,22620,Greater Bendigo (C),7427,7894,7984,7355,8083,8320,7747,7379,6798,7436,7009,7605,7333,6560,5594,3969,2754,2733,119980
25,2,Victoria,22670,Greater Dandenong (C),11235,9923,8914,9709,12776,15145,14753,13257,10110,9864,9224,9016,8766,7486,6658,4656,3454,3416,168362
26,2,Victoria,22750,Greater Geelong (C),15795,16508,15727,15367,17879,19542,18252,17103,15525,16944,15532,15938,15676,14303,12925,8976,6312,6562,264866
27,2,Victoria,22830,Greater Shepparton (C),4498,4561,4655,4253,4024,4024,4266,4042,3782,4282,4172,4279,3993,3637,3169,2246,1627,1560,67070
28,2,Victoria,22910,Hepburn (S),707,848,955,761,595,551,678,784,850,1102,1220,1309,1467,1435,1184,776,463,472,16157
29,2,Victoria,22980,Hindmarsh (S),300,291,293,333,240,225,235,271,258,316,367,458,453,425,373,297,169,288,5592
30,2,Victoria,23110,Hobsons Bay (C),6424,6302,5524,4822,5372,6588,7770,7963,7016,6922,6332,6161,5539,4468,3828,2675,2016,2467,98189
31,2,Victoria,23190,Horsham (RC),1236,1330,1380,1168,1120,1269,1209,1120,1041,1200,1220,1291,1335,1176,947,721,577,678,20018
32,2,Victoria,23270,Hume (C),19040,18710,16644,15030,16931,19606,21000,19548,15737,14374,14133,13417,10996,8858,7004,4602,2970,2588,241188
33,2,Victoria,23350,Indigo (S),845,1033,1123,1089,740,539,727,840,1037,1227,1197,1399,1362,1242,1092,632,398,363,16885
