LGA Name,Jurisdiction,Remoteness,Dose 1 % coverage of 15+,Dose 2 % coverage of 15+,Population aged 15+
Unincorporated ACT,Australian Capital Territory,Major Cities of Australia,0.63,0.40,"345,325"
Albury (C),New South Wales,Inner Regional Australia,0.59,0.30,"43,782"
Armidale Regional (A),New South Wales,Inner Regional Australia,0.60,0.32,"25,368"
Ballina (A),New South Wales,Inner Regional Australia,0.62,0.38,"37,124"
Balranald (A),New South Wales,Outer Regional Australia,0.44,0.27,"1,859"
Bathurst Regional (A),New South Wales,Inner Regional Australia,0.59,0.31,"35,111"
Bayside (A),New South Wales,Major Cities of Australia,0.63,0.31,"150,746"
Bega Valley (A),New South Wales,Outer Regional Australia,0.70,0.41,"28,912"
Bellingen (A),New South Wales,Outer Regional Australia,0.64,0.36,"10,692"
Berrigan (A),New South Wales,Inner Regional Australia,0.66,0.43,"7,307"
Blacktown (C),New South Wales,Major Cities of Australia,0.74,0.35,"289,214"
Bland (A),New South Wales,Outer Regional Australia,0.63,0.36,"4,773"
Blayney (A),New South Wales,Inner Regional Australia,0.64,0.33,"5,867"
Blue Mountains (C),New South Wales,Major Cities of Australia,0.70,0.42,"64,784"
Bogan (A),New South Wales,Remote Australia - see note and refer to SA4 data,N/A,N/A,"2,035"
Bourke (A),New South Wales,Remote Australia - see note and refer to SA4 data,N/A,N/A,"1,930"
Brewarrina (A),New South Wales,Very Remote Australia - see note and refer to SA4 data,N/A,N/A,"1,231"
Broken Hill (C),New South Wales,Outer Regional Australia,0.57,0.35,"14,532"
Burwood (A),New South Wales,Major Cities of Australia,0.66,0.33,"35,639"
Byron (A),New South Wales,Inner Regional Australia,0.47,0.26,"29,052"
Cabonne (A),New South Wales,Inner Regional Australia,0.61,0.32,"10,765"
Camden (A),New South Wales,Major Cities of Australia,0.70,0.37,"76,539"
Campbelltown (C) (NSW),New South Wales,Major Cities of Australia,0.72,0.35,"133,449"
Canada Bay (A),New South Wales,Major Cities of Australia,0.65,0.38,"80,727"
Canterbury-Bankstown (A),New South Wales,Major Cities of Australia,0.66,0.30,"301,492"
Carrathool (A),New South Wales,Remote Australia - see note and refer to SA4 data,N/A,N/A,"2,195"
Central Coast (C) (NSW),New South Wales,Major Cities of Australia,0.65,0.36,"279,484"
Central Darling (A),New South Wales,Very Remote Australia - see note and refer to SA4 data,N/A,N/A,"1,451"
