Vaccinations (Aus),Vaccinations (US),Vaccinations (SKr),date,Cases (Aus),Cases (US),Cases (SKr)
,,,2021-02-26,8.0,77678.0,399.0
5000.0,2352116.0,1426.0,2021-02-27,5.0,65735.0,355.0
1894.0,2429823.0,864.0,2021-02-28,8.0,51992.0,355.0
1808.0,1663984.0,1534.0,2021-03-01,20.0,203063.0,1020.0
8205.0,1731614.0,66430.0,2021-03-02,9.0,123077.0,451.0
8933.0,1908873.0,69478.0,2021-03-03,11.0,67153.0,424.0
10168.0,2032374.0,70438.0,2021-03-04,7.0,63755.0,543.0
10859.0,2435246.0,70657.0,2021-03-05,12.0,49539.0,541.0
5073.0,2904229.0,18021.0,2021-03-06,4.0,19190.0,695.0
4405.0,2439427.0,2077.0,2021-03-07,19.0,4626.0,742.0
5024.0,1738102.0,67555.0,2021-03-08,253.0,102746.0,1723.0
8539.0,1602746.0,63545.0,2021-03-09,1741.0,234735.0,1803.0
24191.0,4575496.0,3848.0,2021-03-13,5.0,53558.0,459.0
3257.0,1356773.0,1184.0,2021-03-14,13.0,38698.0,382.0
2230.0,2021586.0,13170.0,2021-03-15,7.0,55250.0,363.0
17656.0,1655996.0,19299.0,2021-03-16,17.0,54317.0,469.0
21120.0,2299771.0,20236.0,2021-03-17,12.0,59389.0,445.0
22500.0,2692381.0,19565.0,2021-03-18,17.0,60353.0,463.0
14697.0,2583810.0,17140.0,2021-03-19,9.0,61974.0,452.0
13077.0,3127679.0,1562.0,2021-03-20,4.0,56619.0,456.0
3188.0,3039915.0,295.0,2021-03-21,10.0,34601.0,410.0
25165.0,2028324.0,4001.0,2021-03-22,5.0,50120.0,346.0
25341.0,1707293.0,22503.0,2021-03-23,10.0,53394.0,425.0
47729.0,2256824.0,31720.0,2021-03-24,9.0,86797.0,430.0
53156.0,2831442.0,35825.0,2021-03-25,9.0,67868.0,494.0
51745.0,3379393.0,26306.0,2021-03-26,13.0,77468.0,505.0
46310.0,3496047.0,1289.0,2021-03-27,7.0,63823.0,482.0
5055.0,3281956.0,54.0,2021-03-28,17.0,43630.0,384.0
30241.0,2350144.0,28855.0,2021-03-29,20.0,68331.0,441.0
55762.0,1789510.0,32117.0,2021-03-30,8.0,61215.0,506.0
72826.0,2670947.0,28915.0,2021-03-31,18.0,66833.0,551.0
73979.0,3358112.0,44847.0,2021-04-01,13.0,182681.0,715.0
79283.0,3975059.0,46473.0,2021-04-02,4.0,123935.0,369.0
4805.0,4081959.0,9145.0,2021-04-03,14.0,68247.0,398.0
14766.0,3365324.0,706.0,2021-04-04,9.0,36171.0,473.0
1127.0,2134049.0,38017.0,2021-04-05,15.0,40084.0,676.0
10674.0,1404280.0,45320.0,2021-04-06,16.0,16909.0,744.0
65351.0,2884580.0,47774.0,2021-04-07,51.0,3757.0,711.0
75811.0,3403061.0,47681.0,2021-04-08,302.0,96830.0,1776.0
81366.0,3958065.0,41987.0,2021-04-09,1670.0,64318.0,1491.0
56379.0,2590736.0,45176.0,2021-04-13,21.0,78048.0,731.0
60991.0,2509055.0,46619.0,2021-04-14,19.0,75616.0,698.0
63993.0,3525204.0,93834.0,2021-04-15,15.0,73973.0,672.0
60912.0,3965883.0,103779.0,2021-04-16,15.0,80231.0,655.0
53981.0,3588990.0,29455.0,2021-04-17,20.0,53343.0,671.0
22354.0,3534901.0,4875.0,2021-04-18,14.0,42570.0,531.0
89644.0,2174495.0,123096.0,2021-04-19,23.0,67151.0,549.0
66730.0,1806929.0,131490.0,2021-04-20,20.0,60752.0,731.0
64821.0,2563671.0,132872.0,2021-04-21,18.0,63791.0,735.0
67231.0,2995734.0,150629.0,2021-04-22,44.0,66482.0,797.0
70263.0,3374587.0,179976.0,2021-04-23,15.0,63081.0,785.0
58446.0,3318230.0,70908.0,2021-04-24,10.0,53639.0,644.0
20030.0,3020948.0,6670.0,2021-04-25,17.0,32979.0,500.0
3408.0,2107046.0,164501.0,2021-04-26,37.0,46470.0,511.0
31852.0,1639215.0,198827.0,2021-04-27,33.0,50450.0,775.0
60207.0,2231745.0,252622.0,2021-04-28,23.0,55257.0,678.0
82741.0,2721079.0,292387.0,2021-04-29,25.0,58497.0,656.0
67259.0,2799184.0,307719.0,2021-04-30,13.0,58091.0,627.0
55300.0,3303794.0,47978.0,2021-05-01,19.0,231226.0,839.0
19230.0,2127998.0,1898.0,2021-05-02,6.0,131288.0,393.0
6541.0,1188734.0,117314.0,2021-05-03,8.0,66925.0,417.0
56354.0,988846.0,106478.0,2021-05-04,8.0,74839.0,478.0
79345.0,1797771.0,30908.0,2021-05-05,19.0,45222.0,574.0
77215.0,2406932.0,131413.0,2021-05-06,16.0,14336.0,556.0
81002.0,2805581.0,125143.0,2021-05-07,27.0,8630.0,746.0
73194.0,2567872.0,39714.0,2021-05-08,307.0,110648.0,1704.0
26613.0,2369784.0,4772.0,2021-05-09,1536.0,40090.0,1374.0
82284.0,1915642.0,86985.0,2021-05-13,2.0,38939.0,747.0
83495.0,1842180.0,91346.0,2021-05-14,7.0,41611.0,681.0
78532.0,2393676.0,31522.0,2021-05-15,11.0,29345.0,610.0
32387.0,2093069.0,5055.0,2021-05-16,3.0,17226.0,619.0
10953.0,1486490.0,113977.0,2021-05-17,5.0,28371.0,528.0
83187.0,1123306.0,154493.0,2021-05-18,9.0,27419.0,653.0
95530.0,1754966.0,94984.0,2021-05-19,3.0,29280.0,646.0
92874.0,2107077.0,223732.0,2021-05-20,4.0,30172.0,561.0
101146.0,2198101.0,240163.0,2021-05-21,4.0,28167.0,666.0
89621.0,2345872.0,40971.0,2021-05-22,4.0,20435.0,585.0
37469.0,1779363.0,2976.0,2021-05-23,12.0,13316.0,538.0
13089.0,1170314.0,176996.0,2021-05-24,10.0,25000.0,516.0
77569.0,897972.0,171856.0,2021-05-25,17.0,22635.0,699.0
104658.0,1423432.0,155555.0,2021-05-26,17.0,24363.0,629.0
111388.0,1512303.0,717329.0,2021-05-27,11.0,27339.0,587.0
124871.0,1375171.0,610328.0,2021-05-28,9.0,21740.0,533.0
121610.0,1605272.0,173598.0,2021-05-29,13.0,12467.0,479.0
59750.0,1223800.0,4878.0,2021-05-30,9.0,6925.0,430.0
149840.0,1475390.0,1008657.0,2021-06-01,10.0,256321.0,868.0
138705.0,508652.0,405938.0,2021-06-02,3.0,110742.0,372.0
141259.0,808036.0,370212.0,2021-06-03,5.0,58842.0,416.0
143659.0,1399594.0,399264.0,2021-06-04,14.0,60891.0,668.0
141245.0,1148208.0,142577.0,2021-06-05,9.0,47781.0,525.0
88745.0,1369848.0,3043.0,2021-06-06,18.0,5672.0,485.0
60061.0,1213339.0,915699.0,2021-06-07,30.0,23040.0,1212.0
127564.0,1071750.0,772771.0,2021-06-08,353.0,255050.0,1822.0
140885.0,829809.0,618928.0,2021-06-09,1466.0,75004.0,1596.0
60822.0,1209817.0,28146.0,2021-06-13,14.0,5157.0,399.0
32553.0,1323282.0,856726.0,2021-06-14,11.0,12360.0,374.0
63946.0,1240847.0,744340.0,2021-06-15,13.0,10835.0,544.0
152075.0,1028496.0,673931.0,2021-06-16,15.0,12554.0,540.0
136010.0,2054216.0,547280.0,2021-06-17,8.0,10616.0,507.0
141336.0,1079390.0,634510.0,2021-06-18,13.0,21199.0,482.0
358718.0,3175068.0,568575.0,2021-06-22,14.0,10735.0,644.0
140892.0,648209.0,163521.0,2021-06-23,24.0,12996.0,610.0
138922.0,815152.0,153166.0,2021-06-24,20.0,13777.0,634.0
138434.0,512174.0,160544.0,2021-06-25,33.0,24259.0,668.0
363068.0,3953468.0,354426.0,2021-06-29,42.0,6690.0,794.0
144885.0,1368679.0,151219.0,2021-06-30,41.0,16253.0,762.0
324568.0,2287944.0,250527.0,2021-07-02,6.0,91484.0,289.0
151496.0,1161081.0,18338.0,2021-07-03,12.0,42024.0,346.0
79718.0,633702.0,666.0,2021-07-04,6.0,75004.0,700.0
200824.0,610094.0,260540.0,2021-07-06,14.0,15108.0,454.0
165475.0,437117.0,124626.0,2021-07-07,42.0,22954.0,1275.0
139133.0,694333.0,144523.0,2021-07-08,277.0,48729.0,1728.0
164773.0,620612.0,207163.0,2021-07-09,1696.0,276318.0,2049.0
154209.0,341466.0,218305.0,2021-07-13,106.0,26235.0,1615.0
165119.0,545543.0,234704.0,2021-07-14,84.0,32739.0,1600.0
162662.0,567174.0,265776.0,2021-07-15,113.0,29982.0,1535.0
175002.0,549205.0,319177.0,2021-07-16,145.0,77891.0,1454.0
163937.0,635290.0,71307.0,2021-07-17,128.0,11722.0,1451.0
96700.0,500910.0,2959.0,2021-07-18,117.0,19236.0,1252.0
58087.0,507076.0,231632.0,2021-07-19,104.0,51074.0,1278.0
169911.0,243940.0,212237.0,2021-07-20,146.0,41759.0,1784.0
174589.0,611493.0,179107.0,2021-07-21,160.0,50384.0,1838.0
184530.0,660898.0,200431.0,2021-07-22,156.0,54734.0,1630.0
196430.0,600157.0,206509.0,2021-07-23,171.0,120386.0,1629.0
181842.0,676050.0,40416.0,2021-07-24,165.0,25013.0,1486.0
107676.0,778996.0,1690.0,2021-07-25,164.0,24110.0,1318.0
70936.0,393083.0,684207.0,2021-07-26,184.0,86953.0,1365.0
185337.0,395489.0,430810.0,2021-07-27,207.0,68413.0,1896.0
196982.0,753984.0,522842.0,2021-07-28,253.0,69092.0,1672.0
201470.0,710071.0,391068.0,2021-07-29,183.0,79519.0,1707.0
210742.0,856919.0,557525.0,2021-07-30,221.0,189135.0,1539.0
200706.0,711952.0,229212.0,2021-07-31,253.0,32282.0,1442.0
111043.0,816203.0,28519.0,2021-08-01,11.0,302959.0,641.0
76166.0,467676.0,513522.0,2021-08-02,3.0,85932.0,302.0
200558.0,452804.0,327879.0,2021-08-03,15.0,44654.0,446.0
213947.0,725329.0,276615.0,2021-08-04,5.0,80110.0,671.0
221859.0,863941.0,320891.0,2021-08-05,16.0,34240.0,564.0
240039.0,821060.0,412548.0,2021-08-06,5.0,12834.0,601.0
226059.0,839709.0,157797.0,2021-08-07,48.0,19121.0,1316.0
140225.0,773742.0,30001.0,2021-08-08,302.0,26540.0,1492.0
86566.0,532245.0,611390.0,2021-08-09,1725.0,181533.0,2047.0
270898.0,918056.0,865185.0,2021-08-13,493.0,229757.0,1929.0
264802.0,990875.0,326069.0,2021-08-14,439.0,48884.0,1817.0
163176.0,664840.0,24104.0,2021-08-15,518.0,41721.0,1553.0
163727.0,858392.0,928979.0,2021-08-16,482.0,220050.0,1373.0
279465.0,602938.0,1222272.0,2021-08-17,677.0,152118.0,1803.0
273869.0,704840.0,844626.0,2021-08-18,747.0,158628.0,2151.0
309010.0,1023545.0,799450.0,2021-08-19,707.0,157067.0,2051.0
303304.0,1010907.0,1024964.0,2021-08-20,891.0,245590.0,1880.0
310524.0,1050277.0,488937.0,2021-08-21,907.0,65928.0,1627.0
196001.0,973207.0,42547.0,2021-08-22,894.0,35957.0,1416.0
139555.0,610018.0,1103308.0,2021-08-23,834.0,238002.0,1505.0
289942.0,648003.0,1001337.0,2021-08-24,971.0,156675.0,2152.0
307191.0,926909.0,845208.0,2021-08-25,1115.0,169664.0,1878.0
335420.0,924973.0,1070561.0,2021-08-26,976.0,184438.0,1841.0
307090.0,1070810.0,1146727.0,2021-08-27,1119.0,242976.0,1793.0
316330.0,1073386.0,525722.0,2021-08-28,1321.0,60597.0,1617.0
220686.0,951864.0,29889.0,2021-08-29,1355.0,42116.0,1483.0
158428.0,693177.0,979924.0,2021-08-30,1257.0,259936.0,1370.0
276925.0,655116.0,762315.0,2021-08-31,1225.0,170845.0,2024.0
334832.0,1068102.0,696307.0,2021-09-01,13.0,259092.0,665.0
330586.0,836488.0,668026.0,2021-09-02,11.0,94188.0,443.0
301399.0,1400192.0,915943.0,2021-09-03,13.0,55967.0,470.0
312275.0,972115.0,370606.0,2021-09-04,6.0,84190.0,676.0
603177.0,1506454.0,2367457.0,2021-09-07,64.0,47626.0,1378.0
294651.0,959754.0,680661.0,2021-09-08,380.0,181224.0,1539.0
311368.0,666933.0,720233.0,2021-09-09,1870.0,159244.0,1892.0
133201.0,589822.0,1243568.0,2021-09-13,1578.0,260152.0,1495.0
276176.0,621540.0,816097.0,2021-09-14,1643.0,144334.0,2079.0
283991.0,841530.0,805884.0,2021-09-15,1856.0,166284.0,1941.0
389182.0,743608.0,731206.0,2021-09-16,1800.0,157957.0,2008.0
