,date,total_cases_aus,new_cases_aus,total_cases_us,new_cases_us,total_cases,new_cases
0,26/01/2020,4.0,4.0,5.0,3.0,3.0,1.0
1,27/01/2020,5.0,1.0,5.0,0.0,4.0,1.0
2,28/01/2020,5.0,0.0,5.0,0.0,4.0,0.0
3,29/01/2020,6.0,1.0,6.0,1.0,4.0,0.0
4,30/01/2020,9.0,3.0,6.0,0.0,4.0,0.0
5,31/01/2020,9.0,0.0,8.0,2.0,11.0,7.0
6,1/02/2020,12.0,3.0,8.0,0.0,12.0,1.0
7,2/02/2020,12.0,0.0,8.0,0.0,15.0,3.0
8,3/02/2020,12.0,0.0,11.0,3.0,15.0,0.0
9,4/02/2020,13.0,1.0,11.0,0.0,16.0,1.0
10,5/02/2020,13.0,0.0,11.0,0.0,19.0,3.0
11,6/02/2020,14.0,1.0,12.0,1.0,23.0,4.0
12,7/02/2020,15.0,1.0,12.0,0.0,24.0,1.0
13,8/02/2020,15.0,0.0,12.0,0.0,24.0,0.0
14,9/02/2020,15.0,0.0,12.0,0.0,25.0,1.0
15,10/02/2020,15.0,0.0,12.0,0.0,27.0,2.0
16,11/02/2020,15.0,0.0,13.0,1.0,28.0,1.0
17,12/02/2020,15.0,0.0,13.0,0.0,28.0,0.0
18,13/02/2020,15.0,0.0,14.0,1.0,28.0,0.0
19,14/02/2020,15.0,0.0,14.0,0.0,28.0,0.0
20,15/02/2020,15.0,0.0,14.0,0.0,28.0,0.0
21,16/02/2020,15.0,0.0,14.0,0.0,29.0,1.0
22,17/02/2020,15.0,0.0,14.0,0.0,30.0,1.0
23,18/02/2020,15.0,0.0,14.0,0.0,31.0,1.0
24,19/02/2020,15.0,0.0,14.0,0.0,31.0,0.0
25,20/02/2020,15.0,0.0,14.0,0.0,104.0,73.0
26,21/02/2020,15.0,0.0,16.0,2.0,204.0,100.0
27,22/02/2020,15.0,0.0,16.0,0.0,433.0,229.0
28,23/02/2020,15.0,0.0,16.0,0.0,602.0,169.0
29,24/02/2020,15.0,0.0,16.0,0.0,833.0,231.0
30,25/02/2020,15.0,0.0,16.0,0.0,977.0,144.0
31,26/02/2020,15.0,0.0,16.0,0.0,1261.0,284.0
32,27/02/2020,15.0,0.0,17.0,1.0,1766.0,505.0
33,28/02/2020,15.0,0.0,17.0,0.0,2337.0,571.0
34,29/02/2020,25.0,10.0,25.0,8.0,3150.0,813.0
35,1/03/2020,27.0,2.0,32.0,7.0,3736.0,586.0
36,2/03/2020,30.0,3.0,55.0,23.0,4335.0,599.0
37,3/03/2020,39.0,9.0,74.0,19.0,5186.0,851.0
38,4/03/2020,52.0,13.0,107.0,33.0,5621.0,435.0
39,5/03/2020,55.0,3.0,184.0,77.0,6088.0,467.0
40,6/03/2020,60.0,5.0,237.0,53.0,6593.0,505.0
41,7/03/2020,63.0,3.0,403.0,166.0,7041.0,448.0
42,8/03/2020,76.0,13.0,519.0,116.0,7314.0,273.0
43,9/03/2020,91.0,15.0,594.0,75.0,7478.0,164.0
44,10/03/2020,107.0,16.0,782.0,188.0,7513.0,35.0
45,11/03/2020,128.0,21.0,1147.0,365.0,7755.0,242.0
46,12/03/2020,128.0,0.0,1586.0,439.0,7869.0,114.0
47,13/03/2020,200.0,72.0,2219.0,633.0,7979.0,110.0
48,14/03/2020,250.0,50.0,2978.0,759.0,8086.0,107.0
49,15/03/2020,297.0,47.0,3212.0,234.0,8162.0,76.0
50,16/03/2020,377.0,80.0,4679.0,1467.0,8236.0,74.0
51,17/03/2020,452.0,75.0,6512.0,1833.0,8320.0,84.0
52,18/03/2020,568.0,116.0,9169.0,2657.0,8413.0,93.0
53,19/03/2020,681.0,113.0,13663.0,4494.0,8565.0,152.0
54,20/03/2020,791.0,110.0,20030.0,6367.0,8652.0,87.0
55,21/03/2020,1071.0,280.0,26025.0,5995.0,8799.0,147.0
56,22/03/2020,1549.0,478.0,34943.0,8918.0,8961.0,162.0
57,23/03/2020,1682.0,133.0,46095.0,11152.0,8961.0,0.0
58,24/03/2020,2044.0,362.0,56713.0,10618.0,9037.0,76.0
59,25/03/2020,2364.0,320.0,68840.0,12127.0,9137.0,100.0
60,26/03/2020,2810.0,446.0,86660.0,17820.0,9241.0,104.0
61,27/03/2020,3143.0,333.0,105252.0,18592.0,9332.0,91.0
62,28/03/2020,3640.0,497.0,127412.0,22160.0,9478.0,146.0
63,29/03/2020,3984.0,344.0,143546.0,16134.0,9583.0,105.0
64,30/03/2020,4361.0,377.0,165699.0,22153.0,9661.0,78.0
65,31/03/2020,4559.0,198.0,192079.0,26380.0,9786.0,125.0
66,1/04/2020,4862.0,303.0,224281.0,32202.0,9887.0,101.0
67,2/04/2020,5116.0,254.0,256627.0,32346.0,9976.0,89.0
68,3/04/2020,5330.0,214.0,288992.0,32365.0,10062.0,86.0
69,4/04/2020,5550.0,220.0,321379.0,32387.0,10156.0,94.0
70,5/04/2020,5687.0,137.0,350713.0,29334.0,10237.0,81.0
71,6/04/2020,5797.0,110.0,382646.0,31933.0,10284.0,47.0
72,7/04/2020,5895.0,98.0,413222.0,30576.0,10331.0,47.0
73,8/04/2020,6010.0,115.0,444340.0,31118.0,10384.0,53.0
74,9/04/2020,6108.0,98.0,480413.0,36073.0,10423.0,39.0
75,10/04/2020,6215.0,107.0,514689.0,34276.0,10450.0,27.0
76,11/04/2020,6303.0,88.0,543878.0,29189.0,10480.0,30.0
77,12/04/2020,6315.0,12.0,570812.0,26934.0,10512.0,32.0
78,13/04/2020,6351.0,36.0,597804.0,26992.0,10537.0,25.0
79,14/04/2020,6415.0,64.0,626217.0,28413.0,10564.0,27.0
80,15/04/2020,6440.0,25.0,652179.0,25962.0,10591.0,27.0
81,16/04/2020,6462.0,22.0,682442.0,30263.0,10613.0,22.0
82,17/04/2020,6522.0,60.0,715446.0,33004.0,10635.0,22.0
83,18/04/2020,6568.0,46.0,743379.0,27933.0,10653.0,18.0
84,19/04/2020,6610.0,42.0,769250.0,25871.0,10661.0,8.0
85,20/04/2020,6623.0,13.0,799039.0,29789.0,10674.0,13.0
86,21/04/2020,6645.0,22.0,825257.0,26218.0,10683.0,9.0
87,22/04/2020,6652.0,7.0,854328.0,29071.0,10694.0,11.0
88,23/04/2020,6662.0,10.0,887581.0,33253.0,10708.0,14.0
89,24/04/2020,6677.0,15.0,919920.0,32339.0,10718.0,10.0
90,25/04/2020,6694.0,17.0,950298.0,30378.0,10728.0,10.0
91,26/04/2020,6714.0,20.0,976871.0,26573.0,10738.0,10.0
92,27/04/2020,6721.0,7.0,1000666.0,23795.0,10752.0,14.0
